指标编号,合同指标,投标模块拆分,技术模块拆分,对应前端菜单,实现思路,排期（人日）
F-01.01,提供数据采集表单的定制功能（支持表单结构、字段、样式、版本和发布管理）,表单模板定制模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,集成既定外部系统或成熟组件：当前仓库无表单主干；TDuck 社区版提供拖拽表单和模板中心。通过公开 API、连接器、事件或 SSO 完成“支持表单结构、字段、样式、版本和发布管理”，先 PoC 再固化版本与边界。,15
F-01.02,提供表单数据校验功能（支持字段格式、范围、完整性和跨字段逻辑校验）,表单数据校验模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,集成既定外部系统或成熟组件：TDuck 有组件和显隐逻辑；复杂跨字段校验能力未确认。通过公开 API、连接器、事件或 SSO 完成“支持字段格式、范围、完整性和跨字段逻辑校验”，先 PoC 再固化版本与边界。 前置条件：确认社区版校验表达式和扩展点。,8
F-01.03,具备识别并纠正潜在的语义错误能力（对有限业务词典和规则识别语义异常并给出可解释建议）,智能校验引擎模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,按批准范围有限实现“对有限业务词典和规则识别语义异常并给出可解释建议”，优先采用固定规则、指定场景和可解释结果，不扩展为通用平台。现状：当前仓库和 TDuck 社区版均无合同级语义纠错证据。 前置条件：不承诺通用 AI 自动修复或未定义准确率。,5
F-01.04,具备本地数据批量填报、导入、导出、上报功能（支持单条填报、批量填报、导入导出和上报状态闭环）,数据填报及导入导出模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,集成既定外部系统或成熟组件：TDuck 支持数据新增、编辑和导出；批量导入及上报流程待补。通过公开 API、连接器、事件或 SSO 完成“支持单条填报、批量填报、导入导出和上报状态闭环”，先 PoC 再固化版本与边界。 前置条件：文件格式和批量规模需冻结。,10
F-01.05,支持采集任务基于预设规则的智能分配管理（按 SSO 组织、角色、主体、数据源或场景规则分配采集任务并跟踪状态）,智能采集任务分配模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,在现有平台内简单自研“按 SSO 组织、角色、主体、数据源或场景规则分配采集任务并跟踪状态”，复用当前任务、调度、日志或页面框架，不建设独立大平台。现状：SeaTunnel-Web 有任务状态但无采报分派流程；人员、组织和角色统一来自 SSO。,8
F-01.06,通过采集引接工作模式设计支持典型场景流程优化（提供人工填报和系统自动引接两种模式并统一跟踪）,采集引接模式设计模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,集成既定外部系统或成熟组件：SeaTunnel 支持自动引接；TDuck 拟承担人工填报。通过公开 API、连接器、事件或 SSO 完成“提供人工填报和系统自动引接两种模式并统一跟踪”，先 PoC 再固化版本与边界。,6
F-01.07,支持典型数据采集场景工作流程优化（保存并复用场景模板、采集模式和任务策略）,典型场景适配优化模块,MOD-001 数据采报与采集报告,数据采报 / 数据采报管理,基于现有能力改造：TDuck 有模板中心；SeaTunnel-Web 可复制任务，缺统一场景模型。补齐“保存并复用场景模板、采集模式和任务策略”，沿用现有数据模型、接口和页面主干，避免重复建设。,5
F-02.01,支持数据全量和增量的在线引接方式（支持关系库和消息场景的全量、CDC/持续增量引接）,数据在线引接模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理；数据引接 / 实时引接任务管理,直接复用现有能力：现有批/流任务、JDBC、Kafka、MySQL/PostgreSQL CDC。不新建平行模块，补齐页面归类、合同术语和真实环境回归，形成“支持关系库和消息场景的全量、CDC/持续增量引接”验收证据。,5
F-02.02,具备对子文件夹及文件增、删、改操作的实时增量同步功能（同步目录层级并正确处理文件新增、修改、删除和断点恢复）,文件夹增量同步模块,MOD-003 在线引接与物理入湖,数据引接 / 离线引接任务管理,集成既定外部系统或成熟组件：当前仓库无文件系统实时增删改同步实现证据。通过公开 API、连接器、事件或 SSO 完成“同步目录层级并正确处理文件新增、修改、删除和断点恢复”，先 PoC 再固化版本与边界。 前置条件：先完成 Connector 与独立 Agent 方案对比。,20
F-02.03,具备对多数据源的表进行数据探查功能（统一展示多源库表字段、样例、画像、质量和导出结果）,多源数据表探查模块,MOD-002 数据源管理与数据探查,引接资源 / 数据探查,集成既定外部系统或成熟组件：SeaTunnel-Web 有 Catalog/预览；OpenMetadata 拟提供统一目录、画像和质量。通过公开 API、连接器、事件或 SSO 完成“统一展示多源库表字段、样例、画像、质量和导出结果”，先 PoC 再固化版本与边界。,18
