"requirement_id","parent_id","category","source_file","source_section","source_text","atomic_requirement","minimum_baseline","response_commitment","bidding_module","current_capability","evidence_paths","evidence_status","gap","delivery_level","strategy","evidence_level","technical_module","acceptance_method","status","review_note"
"F-01.01","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","提供数据采集表单的定制功能","支持表单结构、字段、样式、版本和发布管理","具备表单定制","规范化定义、统一管理和复用","表单模板定制模块","当前仓库无表单主干；TDuck 社区版提供拖拽表单和模板中心","https://github.com/TDuckCloud/tduck-survey-form","ABSENT","NONE","L1","INTEGRATE","R","MOD-001","创建、发布、复制和版本化表单；真实填写并查询答卷","PLANNED","TDuck 版本和前端源码边界待 PoC"
"F-01.02","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","提供表单数据校验功能","支持字段格式、范围、完整性和跨字段逻辑校验","具备表单数据校验","多字段逻辑关联校验和异常拦截","表单数据校验模块","TDuck 有组件和显隐逻辑；复杂跨字段校验能力未确认","https://github.com/TDuckCloud/tduck-survey-form","PARTIAL","PARTIAL","L1","INTEGRATE","R","MOD-001","配置不少于三类规则并验证合法/非法答卷处理结果","NEEDS_REVIEW","确认社区版校验表达式和扩展点"
"F-01.03","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","具备识别并纠正潜在的语义错误能力","对有限业务词典和规则识别语义异常并给出可解释建议","识别并纠正潜在语义错误","人工智能语义识别、检验与自动化纠错","智能校验引擎模块","当前仓库和 TDuck 社区版均无合同级语义纠错证据","docs/rocket/数据采集引接软件投标阶段模块划分.md","ABSENT","NONE","L3","LIMITED","V1","MOD-001","使用批准样例验证固定词典/规则命中、建议和人工确认闭环","NEEDS_REVIEW","不承诺通用 AI 自动修复或未定义准确率"
"F-01.04","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","具备本地数据批量填报、导入、导出、上报功能","支持单条填报、批量填报、导入导出和上报状态闭环","本地批量填报并支持导入、导出、上报","多模式采集、规范化上报和完整流转管控","数据填报及导入导出模块","TDuck 支持数据新增、编辑和导出；批量导入及上报流程待补","https://github.com/TDuckCloud/tduck-survey-form","PARTIAL","PARTIAL","L1","INTEGRATE","R","MOD-001","使用验收样例完成单条、批量、导入、导出、上报和状态追踪","NEEDS_REVIEW","文件格式和批量规模需冻结"
"F-01.05","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","支持采集任务基于预设规则的智能分配管理","按 SSO 组织、角色、主体、数据源或场景规则分配采集任务并跟踪状态","基于预设规则分配管理","自动分发、智能指派、逾期催办和节点提醒","智能采集任务分配模块","SeaTunnel-Web 有任务状态但无采报分派流程；人员、组织和角色统一来自 SSO","seatunnel-web-api/src/main/java/org/apache/seatunnel/web/api/controller/BatchJobDefinitionController.java","PARTIAL","PARTIAL","L2","BUILD","R","MOD-001","按 SSO 组织/角色/主体配置规则，生成责任人任务并验证状态、催办和审计","PLANNED","一期只做规则分配，不做算法优化，不在本项目维护用户和角色"
"F-01.06","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","通过采集引接工作模式设计支持典型场景流程优化","提供人工填报和系统自动引接两种模式并统一跟踪","支持采集引接工作模式设计","人工填报与系统自动引接两种方式","采集引接模式设计模块","SeaTunnel 支持自动引接；TDuck 拟承担人工填报","seatunnel-web-ui/config/routes.ts;https://github.com/TDuckCloud/tduck-survey-form","PARTIAL","PARTIAL","L1","INTEGRATE","R","MOD-001","同一业务场景分别走人工填报和自动引接并汇总状态","PLANNED","建立统一外部业务 ID 和状态映射"
"F-01.07","F-01","functional","docs/rocket/数据采集引接软件指标.md","功能指标#1","支持典型数据采集场景工作流程优化","保存并复用场景模板、采集模式和任务策略","典型场景工作流程优化","场景模板生成、同类场景孵化和策略调整","典型场景适配优化模块","TDuck 有模板中心；SeaTunnel-Web 可复制任务，缺统一场景模型","https://github.com/TDuckCloud/tduck-survey-form;seatunnel-web-ui/src/pages/batch-link-up","PARTIAL","PARTIAL","L2","ADAPT","R","MOD-001","从模板创建场景并生成对应表单和引接任务","PLANNED","一期限定若干典型场景"
"F-02.01","F-02","functional","docs/rocket/数据采集引接软件指标.md","功能指标#2","支持数据全量和增量的在线引接方式","支持关系库和消息场景的全量、CDC/持续增量引接","支持全量和增量在线引接","全量一次性同步、增量实时或准实时更新","数据在线引接模块","现有批/流任务、JDBC、Kafka、MySQL/PostgreSQL CDC","seatunnel-web-datasource-plugins;seatunnel-web-core/src/main/java/org/apache/seatunnel/web/core/builder/HoconConfigBuilder.java","AVAILABLE","FULL","L1","REUSE","R","MOD-003","SeaTunnel 2.3.13 完成最小全量和持续增量 Source→Sink E2E","PLANNED","本轮未执行真实 Engine E2E"
"F-02.02","F-02","functional","docs/rocket/数据采集引接软件指标.md","功能指标#2","具备对子文件夹及文件增、删、改操作的实时增量同步功能","同步目录层级并正确处理文件新增、修改、删除和断点恢复","文件夹增量同步和实时增删改","实时监听、精准增量处理和层级一致性","文件夹增量同步模块","当前仓库无文件系统实时增删改同步实现证据","docs/datasource-development-guide.md","ABSENT","NONE","L1","INTEGRATE","R","MOD-003","对测试目录执行新增、修改、删除、断网恢复并校验目标一致性","NEEDS_REVIEW","先完成 Connector 与独立 Agent 方案对比"
"F-02.03","F-02","functional","docs/rocket/数据采集引接软件指标.md","功能指标#2","具备对多数据源的表进行数据探查功能","统一展示多源库表字段、样例、画像、质量和导出结果","多数据源表探查","结构解析、字段统计、质量校验、预览和结果导出","多源数据表探查模块","SeaTunnel-Web 有 Catalog/预览；OpenMetadata 拟提供统一目录、画像和质量","seatunnel-web-datasource-plugins/seatunnel-web-datasource-api;https://github.com/open-metadata/OpenMetadata","PARTIAL","PARTIAL","L1","INTEGRATE","R","MOD-002","接入至少两类数据源并展示表字段、画像、质量、预览和导出","PLANNED","OpenMetadata 画像权限和资源成本待 PoC"
